Date,User,Tweet,Polarity,Sentiment
2022-05-21 23:00:19+00:00,xanderrdarma,Kepala Negara RI bersama dengan ibu iriana langsung mengecek harga minyak goreng curah yang bertempat di pasar Muntilan IndonesiaPastiSemakinMaju,0.0,Neutral
2022-05-21 22:51:22+00:00,cahyoyok_1826,jk pak presiden bisa membuat pendapatan per kapita Indonesia setara dg pendapatan per kapita Jerman amp AS ya monggo saja mematok harga minyak goreng spt di Jerman amp AS bisa amp berani pak,0.0,Neutral
2022-05-21 22:40:46+00:00,SuryanaAgustin1,Terima kasih pak presiden Kasian ya pak para petani sawit ikut menderita ulah dari mafia minyak goreng Semoga pemerintah mampu melawan mafia agar petani dan negara tidak dirugikan terus menerus Sehat selalu ya pak Aamiin,0.0,Neutral
2022-05-21 21:47:12+00:00,UncleJames01,Kata Pak minyak goreng turun ke Rp 17 000 l buktinya Rp 49 400 per 2 liter C c,0.0,Neutral
2022-05-21 21:42:45+00:00,UncleJames01,Koruptor minyak goreng,0.0,Neutral
2022-05-21 21:11:41+00:00,Patar_g,Saya yakin Harga Minyak goreng lambat laun akan semakin Turun Terimakasih Pak atas kebijakannya LARANGAN EKSPORT SAWIT Dan kebijakan kebijakan lainnya Terimakasih juga kepada seluruh jajarannya kabinetindonesiamaju,0.0,Neutral
2022-05-21 20:07:06+00:00,bobmcassar,Maaf pak apa benar bapak sudah tidak punya kuasa untuk mengurus masalah minyak goreng ini Kalau begitu mundur saja pak,0.0,Neutral
2022-05-21 20:02:56+00:00,taksuka,Beli minyak goreng curah hrs menunjukan KTP Ribet amat sih hrt,0.0,Neutral
2022-05-21 19:40:51+00:00,kangmaskuy,Di Demak tempat tinggal saya saya sebagai penjual gorengan beli minyak goreng curah harga 14 000 per kg,0.0,Neutral
2022-05-21 18:55:53+00:00,gamapila,saya yakin data2 harga minyak goreng beserta narasi membandingkan itu anda dengar pertama kali dari org yg ada di sekeliling anda tolong sadar pak tidak semua org disekeliling anda itu bisa dipercaya alih2 bisa menjerumuskan anda,0.0,Neutral
2022-05-21 18:35:00+00:00,TKareung,Jokowi Bandingkan Harga Minyak Goreng Curah di Jerman Rp47 000 dan Singapura Rp41 000 Liter via Pak kalau di Singapura gaji kuli 100 atau Rp 1 juta lebih perhari minyak goreng 41 000 gak ada apa apanya pak kuli kita 100rb pak,0.0,Neutral
2022-05-21 17:59:01+00:00,Michaelnur77,Jokowi Bandingkan Harga Minyak Goreng RI Termurah dari Singapura AS Pak Singapura AS punya perkebunan kelapa sawit Apakah mereka pengekspor migor dari kelapa sawit,0.0,Neutral
2022-05-21 17:22:35+00:00,Gandawan,Artinya selambat lambatnya 5 Juni 2022 harga minyak goreng adalah RP14 000 00 liter dan minyak goreng bisa didapatkan di banyak tempat atau tidak langka Kalau tidak harusnya JOKOWI MUNDUR Cc,0.0,Neutral
2022-05-21 16:54:46+00:00,Yoyok54461523,Bohong itu pak di pasar sumput driyorejo Gresik masih 21 500 rupiah untuk minyak goreng curah itupun harus antri 1 sampai 2 jam baru dapat barang,0.0,Neutral
2022-05-21 16:38:05+00:00,Rena__aja,Minyak goreng curah kwalitas rendah yg di inginkan masyarakat harga migor kwalitas baik kemasan Rp 15 000 next mohon penjelasan uji klinis minyak goreng curah agar sebagian masyarakat tidak ragu menggunakannya,0.0,Neutral
2022-05-21 16:09:05+00:00,Cintada16,Untuk mengatasi persoalan tersebut Presiden mengakui telah memutuskan beberapa kebijakan untuk mengatasi persoalan tersebut Akhirnya saya setop setop minyak goreng enggak boleh ekspor Tetapi itu juga kebijakan yang tidak mudah kata Presiden,0.0,Neutral
